enable_batch_dco,gamma,refine_queue_size,ef,recall,latency(ms),QPS,nq
True,0.8,100,800,0.9924,3.618532657623291,276.355112587768,1000
True,0.8,200,800,0.994,4.4308977127075195,225.68790002352495,1000
True,0.9,100,800,0.9924,3.599891185760498,277.7861741920247,1000
True,0.9,200,800,0.994,4.483871936798096,223.02153453430108,1000
True,0.8,100,800,0.9924,3.552424907684326,281.4978573753603,1000
True,0.8,200,800,0.994,4.374247789382935,228.6107344963802,1000
True,0.9,100,800,0.9924,3.559612512588501,280.929454108704,1000
True,0.9,200,800,0.994,4.4316864013671875,225.6477352936113,1000
True,1.0,100,800,0.9924,3.5641026496887207,280.57553283077783,1000
True,1.0,200,800,0.994,4.332236051559448,230.82768069390775,1000
True,1.1,100,800,0.9924,3.5431787967681885,282.23244079923995,1000
True,1.1,200,800,0.994,4.341526508331299,230.33373125351667,1000
True,1.2,100,800,0.9924,3.567873001098633,280.2790345093775,1000
True,1.2,200,800,0.994,4.35075569152832,229.84512827212393,1000
True,1.3,100,800,0.9924,3.541429042816162,282.37188657740126,1000
True,1.3,200,800,0.994,4.335604906082153,230.64832282045847,1000
True,1.4,100,800,0.9924,3.5376250743865967,282.67551788918564,1000
True,1.4,200,800,0.994,4.34173583984375,230.32262599283052,1000
True,100.0,100,800,0.9924,3.5221457481384277,283.91783631569865,1000
True,100.0,200,800,0.994,4.318989515304565,231.53563963432828,1000
True,0.8,0,800,0.9877,4.307863235473633,232.1336461578855,1000
