enable_batch_dco,ef,recall,latency(ms),QPS,nq
False,100,0.8445,0.9073665142059326,1102.0904831110438,1000
False,120,0.8703,1.0557918548583984,947.1563882580992,1000
False,140,0.8887,1.22471284866333,816.5179299714337,1000
False,160,0.9033,1.3943455219268799,717.1823513429266,1000
False,180,0.9157,1.5295088291168213,653.8046600080278,1000
False,200,0.9246,1.6655707359313965,600.3947946652619,1000
False,220,0.9327,1.7929160594940186,557.7505955756855,1000
False,240,0.9398,1.9151711463928223,522.1465464762642,1000
False,260,0.9464,2.069288730621338,483.25783889024206,1000
False,280,0.9512,2.19438099861145,455.7093780126492,1000
False,300,0.9555,2.3116424083709717,432.59285968226635,1000
False,320,0.9589,2.4587743282318115,406.70670281446047,1000
False,340,0.962,2.6104743480682373,383.0721419423273,1000
False,360,0.9642,2.899465799331665,344.89111760880326,1000
False,380,0.9674,2.981712818145752,335.3777043564757,1000
False,400,0.9688,3.1058952808380127,321.96835681149764,1000
False,450,0.9743,3.519803047180176,284.1068055785483,1000
False,500,0.9783,3.8031694889068604,262.938583967087,1000
False,550,0.981,4.067871570587158,245.82880325684903,1000
False,600,0.983,4.346073389053345,230.09275511056626,1000
False,750,0.987,5.27451753616333,189.59080013361702,1000
False,700,0.9859,4.935529470443726,202.6125071258253,1000
False,750,0.987,5.249439716339111,190.49652039768284,1000
False,800,0.9875,5.6486289501190186,177.03411019393116,1000
False,850,0.9885,5.751965045928955,173.85362950141118,1000
False,900,0.9892,5.961751461029053,167.73594245530506,1000
False,950,0.9906,6.245786428451538,160.10794020184278,1000
False,1000,0.9907,6.554190635681152,152.57414005567352,1000
False,1200,0.9925,7.748789310455322,129.05241837595395,1000
False,1400,0.9932,8.854184627532959,112.94094736746301,1000
False,1600,0.994,9.895585775375366,101.0551596135366,1000
False,1800,0.9947,10.852788925170898,92.14221403317794,1000
False,2000,0.9956,11.821879863739014,84.58891576688049,1000
False,2500,0.9966,14.227716207504272,70.28534906203426,1000
False,3000,0.9971,16.4115309715271,60.93276743863401,1000
False,3500,0.9976,18.85473895072937,53.037064189176505,1000
False,4000,0.9972,21.036736249923706,47.535890934774955,1000
False,4500,0.9975,22.919844150543213,43.630314125687434,1000
False,5000,0.9974,25.66268539428711,38.96708332100797,1000
False,6000,0.9978,28.828298330307007,34.688138319586706,1000
False,7000,0.998,33.23735785484314,30.086627353692805,1000
False,8000,0.9984,36.87525129318237,27.1184592628087,1000
