enable_batch_dco,gamma,refine_queue_size,ef,recall,latency(ms),QPS,nq
True,0.8,40,120,0.8748,0.6447091102600098,1551.0871245431947,1000
True,0.8,40,140,0.8872,0.6996614933013916,1429.2625928024772,1000
True,0.8,40,160,0.8962,0.7532200813293457,1327.633217419159,1000
True,0.8,40,180,0.9044,0.8046853542327881,1242.7217604245213,1000
True,0.8,40,200,0.9102,0.857926607131958,1165.6008703856292,1000
True,0.8,40,220,0.9156,0.9053826332092285,1104.5053917760602,1000
True,0.8,40,240,0.9218,0.9575586318969727,1044.3224745611126,1000
True,0.8,40,260,0.9265,1.0042574405670166,995.7606083907999,1000
True,0.8,40,280,0.9301,1.0571792125701904,945.9134157290346,1000
True,0.8,40,300,0.9338,1.107771873474121,902.7129357092864,1000
True,0.8,40,320,0.9377,1.152332067489624,867.805408017949,1000
True,0.8,40,340,0.9396,1.2024140357971191,831.6602852503029,1000
True,0.8,40,360,0.9421,1.2496132850646973,800.2475741510912,1000
True,0.8,40,380,0.9441,1.2959978580474854,771.6062135369363,1000
True,0.8,40,400,0.9461,1.3503730297088623,740.5361170576681,1000
True,0.8,40,450,0.9497,1.4726877212524414,679.0305816833687,1000
True,0.8,40,500,0.9517,1.5922200679779053,628.0538853338185,1000
True,0.8,40,550,0.954,1.7263462543487549,579.2580703210313,1000
True,0.8,40,600,0.9557,1.8252081871032715,547.882705691271,1000
True,0.8,40,650,0.9585,1.9553248882293701,511.4239613170078,1000
True,0.8,40,700,0.9595,2.0661675930023193,483.9878446389307,1000
True,0.8,40,750,0.9608,2.1745569705963135,459.8637853694755,1000
True,0.8,40,800,0.9615,2.2861249446868896,437.4214114255077,1000
True,0.8,40,900,0.9633,2.5480432510375977,392.4580163985782,1000
True,0.8,40,1000,0.9646,2.821091890335083,354.47267897438894,1000
True,0.8,40,1200,0.9665,3.250211000442505,307.67233261589894,1000
True,0.8,40,1400,0.9676,3.6757652759552,272.05219183647023,1000
True,0.8,40,1600,0.9681,4.075101852416992,245.39263955007357,1000
True,0.8,40,1800,0.9688,4.482335567474365,223.09797759373558,1000
True,0.8,40,2000,0.9692,4.836924314498901,206.74294964724885,1000
True,0.8,80,120,0.9047,0.8215169906616211,1217.2602774711147,1000
True,0.8,80,140,0.9153,0.8953385353088379,1116.89596790901,1000
True,0.8,80,160,0.9242,0.9516868591308594,1050.7657959186945,1000
True,0.8,80,180,0.9306,1.0072345733642578,992.8173897564957,1000
True,0.8,80,200,0.9372,1.0616466999053955,941.9329425590557,1000
True,0.8,80,220,0.9432,1.1184132099151611,894.1239169339358,1000
True,0.8,80,240,0.9478,1.1590766906738281,862.7556813506886,1000
True,0.8,80,260,0.9517,1.207056999206543,828.4612911050169,1000
True,0.8,80,280,0.9559,1.2529966831207275,798.0867096227173,1000
True,0.8,80,300,0.9584,1.306171178817749,765.59643652919,1000
True,0.8,80,320,0.9621,1.3637638092041016,733.2648023440396,1000
True,0.8,80,340,0.9639,1.4102494716644287,709.0943979009352,1000
True,0.8,80,360,0.9661,1.467374324798584,681.4893671642121,1000
True,0.8,80,380,0.9677,1.518862009048462,658.3876573662416,1000
True,0.8,80,400,0.9692,1.5627403259277344,639.901577638205,1000
True,0.8,80,450,0.9713,1.6767899990081787,596.37760279552,1000
True,0.8,80,500,0.9742,1.801605224609375,555.060557296519,1000
True,0.8,80,550,0.9761,1.9224212169647217,520.17736340784,1000
True,0.8,80,600,0.9782,2.0637009143829346,484.566340515001,1000
True,0.8,80,650,0.9797,2.1689412593841553,461.0544410427869,1000
True,0.8,80,700,0.9808,2.271810293197632,440.1775988929402,1000
True,0.8,80,750,0.9824,2.4033708572387695,416.0822691962318,1000
True,0.8,80,800,0.9832,2.5119080543518066,398.1037435934526,1000
True,0.8,80,900,0.9846,2.7407572269439697,364.86267012968216,1000
True,0.8,80,1000,0.9858,2.9472546577453613,339.2988106311099,1000
True,0.8,80,1200,0.9869,3.376319169998169,296.1805296388914,1000
True,0.8,80,1400,0.988,3.786102771759033,264.12383928379137,1000
True,0.8,80,1600,0.9887,4.184110879898071,238.99940243083637,1000
True,0.8,80,1800,0.9893,4.586036682128906,218.05320570087224,1000
True,0.8,80,2000,0.9898,4.990286588668823,200.38929272532093,1000
True,0.8,100,120,0.9087,0.8984014987945557,1113.0880807097558,1000
True,0.8,100,140,0.9212,0.9780120849609375,1022.4822529058429,1000
True,0.8,100,160,0.9302,1.041496992111206,960.1563975455291,1000
True,0.8,100,180,0.937,1.1091976165771484,901.5526043825091,1000
True,0.8,100,200,0.9442,1.161522626876831,860.9388890588017,1000
True,0.8,100,220,0.9486,1.2163560390472412,822.1277059497229,1000
True,0.8,100,240,0.9533,1.2633614540100098,791.5391092754337,1000
True,0.8,100,260,0.9565,1.322669506072998,756.0467640695801,1000
True,0.8,100,280,0.961,1.3824172019958496,723.3706283141305,1000
True,0.8,100,300,0.9639,1.4397447109222412,694.5675802201358,1000
True,0.8,100,320,0.966,1.4994173049926758,666.925742867083,1000
True,0.8,100,340,0.9684,1.5397050380706787,649.4750457224236,1000
True,0.8,100,360,0.9702,1.578197717666626,633.6341694109819,1000
True,0.8,100,380,0.9712,1.6190524101257324,617.6452310906612,1000
True,0.8,100,400,0.9726,1.6722214221954346,598.0069306175463,1000
True,0.8,100,450,0.9748,1.7930257320404053,557.7164800987169,1000
True,0.8,100,500,0.9771,1.9121530055999756,522.9707021725651,1000
True,0.8,100,550,0.9796,2.0263454914093018,493.4992597459334,1000
True,0.8,100,600,0.9814,2.141630172729492,466.934026581026,1000
True,0.8,100,650,0.9824,2.254016399383545,443.6524952850795,1000
True,0.8,100,700,0.984,2.367666006088257,422.35686850619254,1000
True,0.8,100,750,0.985,2.481847047805786,402.9257165078344,1000
True,0.8,100,800,0.9858,2.581876039505005,387.3152640557132,1000
True,0.8,100,900,0.9871,2.7820889949798584,359.44213208292416,1000
True,0.8,100,1000,0.9878,2.99359130859375,334.04693457296065,1000
True,0.8,100,1200,0.9894,3.3811252117156982,295.7595289683359,1000
True,0.8,100,1400,0.9903,3.770956516265869,265.1847072981458,1000
True,0.8,100,1600,0.9907,4.179701328277588,239.25154489736943,1000
True,0.8,100,1800,0.9913,4.572829246520996,218.68299603813088,1000
True,0.8,100,2000,0.9918,5.090460777282715,196.44587076728237,1000
True,0.8,200,120,0.9102,0.9052939414978027,1104.6136002473481,1000
True,0.8,200,140,0.9253,1.0628662109375,940.8521878947973,1000
True,0.8,200,160,0.9363,1.200324296951294,833.1081879621215,1000
True,0.8,200,180,0.9467,1.3243398666381836,755.0931790179243,1000
True,0.8,200,200,0.955,1.4433536529541016,692.8308927983846,1000
True,0.8,200,220,0.9611,1.5509321689605713,644.7735239576571,1000
True,0.8,200,240,0.9661,1.6207926273345947,616.9820760133314,1000
True,0.8,200,260,0.969,1.6911964416503906,591.2973652097614,1000
True,0.8,200,280,0.9725,1.7576022148132324,568.9569525868302,1000
True,0.8,200,300,0.9745,1.830502986907959,546.29793403898,1000
True,0.8,200,320,0.9762,1.9215528964996338,520.4124236296768,1000
True,0.8,200,340,0.9776,1.946667194366455,513.6984908842885,1000
True,0.8,200,360,0.9787,2.0053040981292725,498.67748284805765,1000
True,0.8,200,380,0.9795,2.0507960319519043,487.6155329051525,1000
True,0.8,200,400,0.9801,2.088426351547241,478.82943023541884,1000
True,0.8,200,450,0.9826,2.2171852588653564,451.0223022643356,1000
True,0.8,200,500,0.9846,2.335383415222168,428.19521346342555,1000
True,0.8,200,550,0.9862,2.456374168395996,407.10410199965446,1000
True,0.8,200,600,0.9875,2.563394069671631,390.1077917871985,1000
True,0.8,200,650,0.9887,2.680344343185425,373.0863918818585,1000
True,0.8,200,700,0.9893,2.799863576889038,357.16025889772527,1000
True,0.8,200,750,0.9901,2.9249184131622314,341.8898781928297,1000
True,0.8,200,800,0.9905,3.0196139812469482,331.1681579865551,1000
True,0.8,200,900,0.9909,3.2680258750915527,305.9951292374591,1000
True,0.8,200,1000,0.9919,3.474423885345459,287.8175009727032,1000
True,0.8,200,1200,0.9928,3.890056848526001,257.0656519785603,1000
True,0.8,200,1400,0.9937,4.310456991195679,231.99396306297672,1000
True,0.8,200,1600,0.9944,4.672350168228149,214.0250546288187,1000
True,0.8,200,1800,0.9948,5.034834861755371,198.61624610491293,1000
True,0.8,200,2000,0.9946,5.410386085510254,184.8296931485417,1000
True,0.8,300,120,0.9102,0.9041128158569336,1106.0566584847963,1000
True,0.8,300,140,0.9253,1.036520004272461,964.7667154305483,1000
True,0.8,300,160,0.9363,1.1716835498809814,853.4727658347505,1000
True,0.8,300,180,0.9467,1.2916665077209473,774.1936436553025,1000
True,0.8,300,200,0.955,1.4264473915100098,701.0423279202882,1000
True,0.8,300,220,0.9614,1.5557150840759277,642.7912220147853,1000
True,0.8,300,240,0.9675,1.6884980201721191,592.2423290126593,1000
True,0.8,300,260,0.9713,1.835505723953247,544.8089793183731,1000
True,0.8,300,280,0.9743,1.9601707458496094,510.1596389586784,1000
True,0.8,300,300,0.9777,2.1197657585144043,471.750237488896,1000
True,0.8,300,320,0.9793,2.2719383239746094,440.1527935188683,1000
True,0.8,300,340,0.9813,2.303762197494507,434.0725796645009,1000
True,0.8,300,360,0.9829,2.3953640460968018,417.47307747625257,1000
True,0.8,300,380,0.984,2.4598655700683594,406.5262802032755,1000
True,0.8,300,400,0.9849,2.493586540222168,401.02879281298345,1000
True,0.8,300,450,0.9871,2.655777931213379,376.53750648613806,1000
True,0.8,300,500,0.9882,2.8083369731903076,356.082624537748,1000
True,0.8,300,550,0.9894,2.917585611343384,342.7491539963951,1000
True,0.8,300,600,0.9907,3.0310325622558594,329.9205730920111,1000
True,0.8,300,650,0.9914,3.1779873371124268,314.6645640534921,1000
True,0.8,300,700,0.9911,3.276254177093506,305.2266234383376,1000
True,0.8,300,750,0.9917,3.3473761081695557,298.74145231526717,1000
True,0.8,300,800,0.9919,3.464294195175171,288.6590871504882,1000
True,0.8,300,900,0.9929,3.6755154132843018,272.0706860283407,1000
True,0.8,300,1000,0.9934,3.881016492843628,257.664455135386,1000
True,0.8,300,1200,0.9945,4.302373647689819,232.4298356877848,1000
True,0.8,300,1400,0.9949,4.725557327270508,211.61525101582086,1000
True,0.8,300,1600,0.9952,5.074390649795532,197.06799673381354,1000
True,0.8,300,1800,0.9957,5.458911895751953,183.18668978302904,1000
True,0.8,300,2000,0.9957,5.875862121582031,170.1877919032514,1000
True,0.8,400,120,0.9102,0.9151022434234619,1092.7740667085784,1000
True,0.8,400,140,0.9253,1.0521552562713623,950.430075827221,1000
True,0.8,400,160,0.9363,1.1713969707489014,853.6815656614484,1000
True,0.8,400,180,0.9467,1.301171064376831,768.5384553789853,1000
True,0.8,400,200,0.955,1.4377331733703613,695.5393521704594,1000
True,0.8,400,220,0.9614,1.5731420516967773,635.6705034497099,1000
True,0.8,400,240,0.9675,1.7060627937316895,586.144896702594,1000
True,0.8,400,260,0.9713,1.8421497344970703,542.8440377421396,1000
True,0.8,400,280,0.9743,1.9776434898376465,505.6523105092589,1000
True,0.8,400,300,0.9777,2.1343960762023926,468.51660343156277,1000
True,0.8,400,320,0.9797,2.26602840423584,441.30073485871617,1000
True,0.8,400,340,0.9813,2.3855443000793457,419.19154465785397,1000
True,0.8,400,360,0.9831,2.497420072555542,400.41321481681183,1000
True,0.8,400,380,0.9847,2.6218862533569336,381.40479920501866,1000
True,0.8,400,400,0.986,2.7615628242492676,362.11379702066006,1000
True,0.8,400,450,0.9884,2.9984865188598633,333.50158278525043,1000
True,0.8,400,500,0.9897,3.1900713443756104,313.47261300694487,1000
True,0.8,400,550,0.9909,3.3686628341674805,296.8536921704533,1000
True,0.8,400,600,0.9916,3.4789071083068848,287.4465942514574,1000
True,0.8,400,650,0.9923,3.6094892024993896,277.047511129151,1000
True,0.8,400,700,0.9923,3.7288918495178223,268.1761875526931,1000
True,0.8,400,750,0.993,3.8478105068206787,259.8880579559173,1000
True,0.8,400,800,0.9929,3.9599668979644775,252.5273634267057,1000
True,0.8,400,900,0.9938,4.180351734161377,239.21432061041884,1000
True,0.8,400,1000,0.9944,4.396161317825317,227.47117944586202,1000
True,0.8,400,1200,0.995,4.812206983566284,207.80486030941853,1000
True,0.8,400,1400,0.9957,5.233171701431274,191.08870433708483,1000
True,0.8,400,1600,0.9956,5.698566198348999,175.4827381473119,1000
True,0.8,400,1800,0.9961,6.073332786560059,164.65424094871656,1000
True,0.8,400,2000,0.9962,6.427985906600952,155.5697250320807,1000
True,0.8,500,120,0.9102,0.920367956161499,1086.521964726603,1000
True,0.8,500,140,0.9253,1.0545055866241455,948.3117137400499,1000
True,0.8,500,160,0.9363,1.1931746006011963,838.1003077807197,1000
True,0.8,500,180,0.9467,1.3343424797058105,749.4327844681039,1000
True,0.8,500,200,0.955,1.4577972888946533,685.9664286783183,1000
True,0.8,500,220,0.9614,1.6025230884552002,624.0159703183932,1000
True,0.8,500,240,0.9675,1.7344927787780762,576.537424793711,1000
True,0.8,500,260,0.9713,1.8732435703277588,533.8334084472696,1000
True,0.8,500,280,0.9743,2.0107922554016113,497.3164171055911,1000
True,0.8,500,300,0.9777,2.140355110168457,467.21219074777497,1000
True,0.8,500,320,0.9797,2.2768619060516357,439.20098858086897,1000
True,0.8,500,340,0.9813,2.4077839851379395,415.31964917638203,1000
True,0.8,500,360,0.9831,2.5436995029449463,393.12819727419003,1000
True,0.8,500,380,0.9847,2.661513566970825,375.72605768759615,1000
True,0.8,500,400,0.986,2.804347038269043,356.5892474624826,1000
True,0.8,500,450,0.9888,3.1193149089813232,320.58321432079157,1000
True,0.8,500,500,0.9903,3.4418158531188965,290.5443064578317,1000
True,0.8,500,550,0.9923,3.6567177772521973,273.4692860960792,1000
True,0.8,500,600,0.9927,3.8596699237823486,259.08951276849945,1000
True,0.8,500,650,0.9928,4.0186607837677,248.83911676228837,1000
True,0.8,500,700,0.9932,4.085926055908203,244.74255929179415,1000
True,0.8,500,750,0.9935,4.190496206283569,238.63522379533933,1000
True,0.8,500,800,0.9937,4.328432083129883,231.0305396491058,1000
True,0.8,500,900,0.9948,4.560702562332153,219.26446338755352,1000
True,0.8,500,1000,0.9955,4.765105485916138,209.85894288292766,1000
True,0.8,500,1200,0.9958,5.209977388381958,191.93941267959437,1000
True,0.8,500,1400,0.9957,5.617078542709351,178.02848801143136,1000
True,0.8,500,1600,0.9961,5.98992919921875,166.9468814640459,1000
True,0.8,500,1800,0.9959,6.333747863769531,157.884402964669,1000
True,0.8,500,2000,0.996,6.690872430801392,149.45734062967722,1000
True,0.8,600,120,0.9102,0.8980090618133545,1113.5745089038353,1000
True,0.8,600,140,0.9253,1.0331127643585205,967.9485478247083,1000
True,0.8,600,160,0.9363,1.1735832691192627,852.091220378822,1000
True,0.8,600,180,0.9467,1.3295395374298096,752.14009952133,1000
True,0.8,600,200,0.955,1.4512510299682617,689.0606651434174,1000
True,0.8,600,220,0.9614,1.587968349456787,629.7354732177631,1000
True,0.8,600,240,0.9675,1.7157323360443115,582.8414951399351,1000
True,0.8,600,260,0.9713,1.841245412826538,543.1106538182094,1000
