enable_batch_dco,ef,recall,latency(ms),QPS,nq
False,100,0.822,0.340289831161499,2938.6714160300826,1000
False,120,0.8393,0.39787960052490234,2513.3231225746454,1000
False,140,0.8524,0.45343613624572754,2205.382235918835,1000
False,160,0.8626,0.5124711990356445,1951.329171047612,1000
False,180,0.8701,0.5664176940917969,1765.481570280773,1000
False,200,0.8778,0.6234831809997559,1603.8925033976043,1000
False,220,0.8846,0.6744635105133057,1482.6598984412697,1000
False,240,0.8921,0.7204101085662842,1388.0982347542824,1000
False,260,0.8974,0.7743687629699707,1291.3744043143681,1000
False,280,0.9029,0.8138620853424072,1228.709406679488,1000
False,300,0.9068,0.8662066459655762,1154.4589327010785,1000
False,320,0.9106,0.9244036674499512,1081.7784861873038,1000
False,340,0.9137,0.9753117561340332,1025.3131818730728,1000
False,360,0.9167,1.0258679389953613,974.7843382056623,1000
False,380,0.9188,1.0747973918914795,930.4079145932355,1000
False,400,0.9219,1.1299002170562744,885.0339037948828,1000
False,450,0.929,1.2501463890075684,799.9063220058991,1000
False,500,0.9338,1.37801194190979,725.6831160796021,1000
False,550,0.9388,1.508864402770996,662.7500775838585,1000
False,600,0.9424,1.6420443058013916,608.996965835191,1000
False,750,0.9516,2.026625633239746,493.4310430098571,1000
False,700,0.9486,1.893502950668335,528.1217014460093,1000
False,750,0.9516,2.016899824142456,495.8104453329402,1000
False,800,0.9539,2.1878788471221924,457.06369953498177,1000
False,850,0.9562,2.3299689292907715,429.190272637839,1000
False,900,0.958,2.4436850547790527,409.2180365241116,1000
False,950,0.9602,2.5511064529418945,391.9867784610933,1000
False,1000,0.962,2.810979127883911,355.7479278591422,1000
False,1200,0.968,3.2817304134368896,304.71729058107496,1000
False,1400,0.9725,3.6815409660339355,271.6253898098773,1000
False,1600,0.9773,4.20163369178772,238.00266119213214,1000
False,1800,0.9807,4.797966003417969,208.42165185989674,1000
False,2000,0.9844,5.319319009780884,187.99398911049565,1000
False,2500,0.9875,6.6577308177948,150.20132645303073,1000
False,3000,0.9903,7.899455547332764,126.59100288723671,1000
False,3500,0.9921,9.137725353240967,109.43642551538498,1000
False,4000,0.9931,10.49202299118042,95.3105040696726,1000
False,4500,0.9942,11.596522569656372,86.23274727344682,1000
False,5000,0.9953,12.74094843864441,78.48709260661575,1000
False,6000,0.9962,15.032848119735718,66.52099402821482,1000
False,7000,0.9973,17.16254162788391,58.26642822968039,1000
False,8000,0.998,19.725499391555786,50.69580141672287,1000
