enable_batch_dco,gamma,refine_queue_size,ef,recall,latency(ms),QPS,nq
True,0.8,40,120,0.8868,0.4917724132537842,2033.4609527678808,1000
True,0.8,40,140,0.8931,0.5250415802001953,1904.61105883977,1000
True,0.8,40,160,0.8986,0.561368465423584,1781.3611942834086,1000
True,0.8,40,180,0.9037,0.592665433883667,1687.2925985359352,1000
True,0.8,40,200,0.907,0.6283576488494873,1591.4503497028863,1000
True,0.8,40,220,0.9102,0.6585583686828613,1518.4682900621751,1000
True,0.8,40,240,0.9136,0.6953749656677246,1438.0730532048465,1000
True,0.8,40,260,0.9162,0.7247319221496582,1379.8205507960204,1000
True,0.8,40,280,0.9189,0.7556853294372559,1323.3021219886332,1000
True,0.8,40,300,0.9218,0.787914514541626,1269.1732180892188,1000
True,0.8,40,320,0.9244,0.8180415630340576,1222.4317750935193,1000
True,0.8,40,340,0.926,0.8361828327178955,1195.9107038225595,1000
True,0.8,40,360,0.9283,0.8684349060058594,1151.496782411983,1000
True,0.8,40,380,0.9304,0.8974759578704834,1114.2359761622852,1000
True,0.8,40,400,0.933,0.9285023212432861,1077.0032310322895,1000
True,0.8,40,450,0.937,1.0091946125030518,990.8891581572688,1000
True,0.8,40,500,0.9398,1.0706799030303955,933.9859627229886,1000
True,0.8,40,550,0.9438,1.1424829959869385,875.2865500078152,1000
True,0.8,40,600,0.9463,1.2108170986175537,825.8885682583658,1000
True,0.8,40,650,0.9484,1.2853162288665771,778.0186521738889,1000
True,0.8,40,700,0.95,1.358062744140625,736.3430035280106,1000
True,0.8,40,750,0.9519,1.4270687103271484,700.7371073049138,1000
True,0.8,40,800,0.954,1.49947190284729,666.9014591744855,1000
True,0.8,40,900,0.9574,1.6419682502746582,609.0251744104834,1000
True,0.8,40,1000,0.9607,1.7857029438018799,560.0035568463217,1000
True,0.8,40,1200,0.9638,2.0620458126068115,484.9552778537995,1000
True,0.8,40,1400,0.9668,2.3596115112304688,423.7985766896556,1000
True,0.8,40,1600,0.9705,2.6321380138397217,379.9192879484369,1000
True,0.8,40,1800,0.9721,2.9270594120025635,341.6398026973578,1000
True,0.8,40,2000,0.974,3.317376136779785,301.44305582746233,1000
True,0.8,80,120,0.9137,0.6809570789337158,1468.5213370068213,1000
True,0.8,80,140,0.9179,0.72467041015625,1379.9376737134676,1000
True,0.8,80,160,0.9219,0.761955976486206,1312.4117808112019,1000
True,0.8,80,180,0.9264,0.7922646999359131,1262.2044123395765,1000
True,0.8,80,200,0.9297,0.8276283740997314,1208.2717694252194,1000
True,0.8,80,220,0.9323,0.8618555068969727,1160.2873010586231,1000
True,0.8,80,240,0.935,0.9025421142578125,1107.9815381494193,1000
True,0.8,80,260,0.9376,0.9336168766021729,1071.1031741836366,1000
True,0.8,80,280,0.9397,0.9683663845062256,1032.666990510936,1000
True,0.8,80,300,0.9417,1.0073447227478027,992.7088288825616,1000
True,0.8,80,320,0.9435,1.0349524021148682,966.2280100578105,1000
True,0.8,80,340,0.945,1.067049264907837,937.1638525859178,1000
True,0.8,80,360,0.9467,1.1047170162200928,905.2091941351703,1000
True,0.8,80,380,0.9482,1.134403944015503,881.5202073965409,1000
True,0.8,80,400,0.9497,1.1690292358398438,855.4105999595372,1000
True,0.8,80,450,0.9528,1.2602183818817139,793.5132627623119,1000
True,0.8,80,500,0.9554,1.3413739204406738,745.504280917789,1000
True,0.8,80,550,0.9569,1.3955678939819336,716.5541743345276,1000
True,0.8,80,600,0.9588,1.4806106090545654,675.3970246360343,1000
True,0.8,80,650,0.9612,1.5641872882843018,639.3096322224063,1000
True,0.8,80,700,0.9632,1.6441199779510498,608.2281180271461,1000
True,0.8,80,750,0.9642,1.7161474227905273,582.700522530843,1000
True,0.8,80,800,0.9657,1.7928707599639893,557.7646879689675,1000
True,0.8,80,900,0.9683,1.932250738143921,517.5311776361792,1000
True,0.8,80,1000,0.9699,2.0680549144744873,483.54615392508066,1000
True,0.8,80,1200,0.973,2.3603804111480713,423.6605232262572,1000
True,0.8,80,1400,0.9765,2.644080638885498,378.2032912663013,1000
True,0.8,80,1600,0.978,2.893706798553467,345.5775134163176,1000
True,0.8,80,1800,0.9806,3.1508822441101074,317.37142886544984,1000
True,0.8,80,2000,0.982,3.4180448055267334,292.56491851220665,1000
True,0.8,100,120,0.9186,0.7072885036468506,1413.8502108317887,1000
True,0.8,100,140,0.925,0.7601673603057861,1315.4997862546195,1000
True,0.8,100,160,0.9285,0.8098921775817871,1234.7322615040505,1000
True,0.8,100,180,0.9329,0.8507146835327148,1175.482237884218,1000
True,0.8,100,200,0.9362,0.8974339962005615,1114.2880749265896,1000
True,0.8,100,220,0.9387,0.9352235794067383,1069.2630318777385,1000
True,0.8,100,240,0.9412,0.9759175777435303,1024.676696890891,1000
True,0.8,100,260,0.9434,1.021543025970459,978.9112886850818,1000
True,0.8,100,280,0.9455,1.0625052452087402,941.171824336302,1000
True,0.8,100,300,0.9469,1.0977115631103516,910.9861220433106,1000
True,0.8,100,320,0.9486,1.1207776069641113,892.237669441607,1000
True,0.8,100,340,0.9507,1.1579625606536865,863.5857790043623,1000
True,0.8,100,360,0.9523,1.2292201519012451,813.5239228329373,1000
True,0.8,100,380,0.9533,1.2375733852386475,808.032890758365,1000
True,0.8,100,400,0.9544,1.2757604122161865,783.8462382312448,1000
True,0.8,100,450,0.9567,1.3626325130462646,733.8735795790069,1000
True,0.8,100,500,0.9584,1.4196605682373047,704.3937278906263,1000
True,0.8,100,550,0.9606,1.4900083541870117,671.1371766406146,1000
True,0.8,100,600,0.9631,1.55857253074646,641.6127451707761,1000
True,0.8,100,650,0.9646,1.6427059173583984,608.751687951596,1000
True,0.8,100,700,0.9663,1.723505973815918,580.2126683587618,1000
True,0.8,100,750,0.9672,1.7888257503509521,559.0259419084327,1000
True,0.8,100,800,0.9686,1.8619542121887207,537.0701349441367,1000
True,0.8,100,900,0.9707,2.0220139026641846,494.5564413194243,1000
True,0.8,100,1000,0.9717,2.1603188514709473,462.89463211373004,1000
True,0.8,100,1200,0.9752,2.4426910877227783,409.38455338299013,1000
True,0.8,100,1400,0.9778,2.7265143394470215,366.7686560573216,1000
True,0.8,100,1600,0.98,2.984323263168335,335.0843430206487,1000
True,0.8,100,1800,0.9817,3.274994373321533,305.34403605273667,1000
True,0.8,100,2000,0.9833,3.545868158340454,282.01838177424577,1000
True,0.8,200,120,0.9215,0.7500879764556885,1333.1769490896181,1000
True,0.8,200,140,0.9314,0.8693933486938477,1150.2273412861648,1000
True,0.8,200,160,0.9396,0.9836170673370361,1016.6558035713203,1000
True,0.8,200,180,0.9455,1.099928855895996,909.149709674091,1000
True,0.8,200,200,0.9506,1.2180099487304688,821.0113563048476,1000
True,0.8,200,220,0.9556,1.3059961795806885,765.6990239596769,1000
True,0.8,200,240,0.9574,1.3727343082427979,728.4730876145104,1000
True,0.8,200,260,0.9594,1.4283266067504883,700.1199832544239,1000
True,0.8,200,280,0.961,1.4770989418029785,677.0027191133037,1000
True,0.8,200,300,0.9621,1.5140655040740967,660.4734057470879,1000
True,0.8,200,320,0.9641,1.5633139610290527,639.6667751510063,1000
True,0.8,200,340,0.9652,1.6117868423461914,620.4294350389123,1000
True,0.8,200,360,0.966,1.7179508209228516,582.0888396926395,1000
True,0.8,200,380,0.9671,1.75852370262146,568.6588122237328,1000
True,0.8,200,400,0.9677,1.7607791423797607,567.9303984987359,1000
True,0.8,200,450,0.9697,1.856851577758789,538.5460054954932,1000
