enable_batch_dco,gamma,refine_queue_size,ef,recall,latency(ms),QPS,nq
True,0.8,40,40,0.9709,2.5616819858551025,390.36851784168476,1000
True,0.8,40,50,0.972,2.601494312286377,384.3944594755348,1000
True,0.8,40,60,0.9725,2.6432406902313232,378.32347379325677,1000
True,0.8,40,70,0.9733,2.6779346466064453,373.4221076930419,1000
True,0.8,40,80,0.9739,2.698462963104248,370.58133228911305,1000
True,0.8,40,90,0.9732,2.7157466411590576,368.2228617516428,1000
True,0.8,40,100,0.9728,2.7469842433929443,364.0355791647525,1000
True,0.8,40,120,0.9745,2.788649320602417,358.59654084579387,1000
True,0.8,40,140,0.9743,2.847400188446045,351.19756051773857,1000
True,0.8,40,160,0.9752,2.898078203201294,345.05625103400365,1000
True,0.8,40,180,0.9745,2.930586576461792,341.2286154696504,1000
True,0.8,40,200,0.9756,2.9674532413482666,336.98930317286096,1000
True,0.8,40,220,0.9753,3.0251095294952393,330.5665432110344,1000
True,0.8,40,240,0.9763,3.0817346572875977,324.49257032406365,1000
True,0.8,40,260,0.9758,3.107527732849121,321.79921982004487,1000
True,0.8,40,280,0.9762,3.1464295387268066,317.82056063605575,1000
True,0.8,40,300,0.9764,3.1819324493408203,314.2744278581914,1000
True,0.8,40,320,0.976,3.256488084793091,307.07927496179906,1000
True,0.8,40,340,0.9762,3.3154406547546387,301.61903171631513,1000
True,0.8,40,360,0.9765,3.364774703979492,297.19671834708817,1000
True,0.8,40,380,0.976,3.3794047832489014,295.91009782456933,1000
True,0.8,40,400,0.9763,3.418959140777588,292.4866776186644,1000
True,0.8,40,500,0.9761,3.5731704235076904,279.8635053679655,1000
True,0.8,40,600,0.9767,3.7455060482025146,266.9866200002279,1000
True,0.8,40,700,0.9775,3.895103931427002,256.7325590292124,1000
True,0.8,40,800,0.9776,4.026702165603638,248.34218148589872,1000
True,0.8,40,900,0.9781,4.1789796352386475,239.2928626805556,1000
True,0.8,40,1000,0.9777,4.350590467453003,229.85385719043262,1000
True,0.8,40,1200,0.9779,4.651462554931641,214.9861442912758,1000
True,0.8,40,1400,0.978,4.954993963241577,201.816593000609,1000
True,0.8,40,1600,0.9782,5.2685675621032715,189.80491152718344,1000
True,0.8,40,1800,0.9783,5.571505546569824,179.48469971741554,1000
True,0.8,40,2000,0.9785,5.899585485458374,169.50343417598668,1000
True,0.8,80,80,0.9802,5.995514631271362,166.79135345349792,1000
True,0.8,80,90,0.98,5.987232446670532,167.02207721300258,1000
True,0.8,80,100,0.9815,6.025312423706055,165.9664976152256,1000
True,0.8,80,120,0.9803,6.015860557556152,166.2272571700422,1000
True,0.8,80,140,0.9803,6.090747117996216,164.18347053768147,1000
True,0.8,80,160,0.9807,6.139153718948364,162.88890061728245,1000
True,0.8,80,180,0.9812,6.188510179519653,161.58978025267126,1000
True,0.8,80,200,0.9819,6.282591104507446,159.16999584495477,1000
True,0.8,80,220,0.9812,6.289102554321289,159.00519849416236,1000
True,0.8,80,240,0.9817,6.393199920654297,156.41619414549098,1000
True,0.8,80,260,0.9817,6.453954696655273,154.94375882716446,1000
True,0.8,80,280,0.9813,6.464203357696533,154.69810348855452,1000
True,0.8,80,300,0.9818,6.483911037445068,154.22790260768934,1000
True,0.8,80,320,0.9816,6.514042139053345,153.5145119809319,1000
True,0.8,80,340,0.9818,6.567749977111816,152.25914559551373,1000
True,0.8,80,360,0.9826,6.628030061721802,150.87439113699858,1000
True,0.8,80,380,0.9818,6.681084871292114,149.67629049241538,1000
True,0.8,80,400,0.9818,6.713192462921143,148.96042464494835,1000
True,0.8,80,500,0.981,6.893608570098877,145.06190623261,1000
True,0.8,80,600,0.9825,7.048169851303101,141.88080325775846,1000
True,0.8,80,700,0.9819,7.17846155166626,139.30561483161816,1000
True,0.8,80,800,0.9825,7.341622591018677,136.20967130935648,1000
True,0.8,80,900,0.9821,7.523669004440308,132.91387478766296,1000
True,0.8,80,1000,0.9823,7.673527956008911,130.3181542743882,1000
True,0.8,80,1200,0.9824,8.034905433654785,124.45697192793675,1000
True,0.8,80,1400,0.9827,8.343845129013062,119.84882084194238,1000
True,0.8,80,1600,0.9825,8.66617488861084,115.39116309713626,1000
True,0.8,80,1800,0.9824,8.850822687149048,112.983847417026,1000
True,0.8,80,2000,0.9825,9.190565586090088,108.80723178924907,1000
True,0.8,100,100,0.9814,7.459789991378784,134.05203111021777,1000
True,0.8,100,120,0.9823,7.5490007400512695,132.46786355371432,1000
True,0.8,100,140,0.9821,7.640715599060059,130.87779371385287,1000
True,0.8,100,160,0.983,7.671307802200317,130.35586966190766,1000
True,0.8,100,180,0.9833,7.748226642608643,129.06179002313283,1000
True,0.8,100,200,0.9822,7.7822840213775635,128.49698073895115,1000
True,0.8,100,220,0.9835,7.855757713317871,127.29516826934459,1000
True,0.8,100,240,0.9834,8.122183561325073,123.11960108383188,1000
True,0.8,100,260,0.9835,8.160817861557007,122.53673797949578,1000
True,0.8,100,280,0.984,7.978396892547607,125.33846253425565,1000
True,0.8,100,300,0.9838,7.98486852645874,125.23687731192943,1000
True,0.8,100,320,0.9847,8.023057460784912,124.6407625631249,1000
True,0.8,100,340,0.9836,8.272727012634277,120.87912467953791,1000
True,0.8,100,360,0.9851,8.294299840927124,120.56472748496894,1000
True,0.8,100,380,0.9837,8.32359004020691,120.14046765512515,1000
True,0.8,100,400,0.9847,8.341119050979614,119.88799031498729,1000
True,0.8,100,500,0.9848,8.53455901145935,117.17067028973614,1000
True,0.8,100,600,0.9851,8.72977328300476,114.55051209025248,1000
True,0.8,100,700,0.985,8.884783267974854,112.5519857760058,1000
True,0.8,100,800,0.9845,9.165627241134644,109.1032805165887,1000
True,0.8,100,900,0.9842,9.226859331130981,108.3792397946339,1000
True,0.8,100,1000,0.9845,9.38593339920044,106.54241378755012,1000
True,0.8,100,1200,0.9838,9.708198547363281,103.00572192887394,1000
True,0.8,100,1400,0.9847,9.993749856948853,100.06254051923064,1000
True,0.8,100,1600,0.9848,10.332117557525635,96.78558092591842,1000
True,0.8,100,1800,0.9842,10.69084620475769,93.53796517575712,1000
True,0.8,100,2000,0.9845,10.89077877998352,91.82079814511788,1000
True,0.8,200,200,0.9846,15.064185857772827,66.38261167522833,1000
True,0.8,200,220,0.9848,15.158246755599976,65.97069015455668,1000
True,0.8,200,240,0.9845,15.289156436920166,65.40583217431184,1000
True,0.8,200,260,0.9842,15.445303916931152,64.74459844741543,1000
True,0.8,200,280,0.9843,15.42508864402771,64.82944915763451,1000
True,0.8,200,300,0.9843,15.322874069213867,65.26190814353566,1000
True,0.8,200,320,0.984,15.500959873199463,64.5121339697782,1000
True,0.8,200,340,0.9843,15.547133207321167,64.32053978473013,1000
True,0.8,200,360,0.9845,15.613301753997803,64.04795191663729,1000
True,0.8,200,380,0.9836,15.663473844528198,63.842798214863116,1000
True,0.8,200,400,0.9847,15.78220009803772,63.36252194168638,1000
True,0.8,200,500,0.984,15.937674283981323,62.74441189986437,1000
True,0.8,200,600,0.9838,16.00368332862854,62.485615309016275,1000
True,0.8,200,700,0.9846,16.1752872467041,61.822704274000536,1000
True,0.8,200,800,0.9842,16.399484157562256,60.97752773149711,1000
True,0.8,200,900,0.9847,16.435852527618408,60.84259993934749,1000
True,0.8,200,1000,0.9837,16.807462692260742,59.49738031906895,1000
True,0.8,200,1200,0.9833,17.297770261764526,57.810919261104296,1000
True,0.8,200,1400,0.9834,17.629416704177856,56.72337416376447,1000
True,0.8,200,1600,0.9834,17.85601496696472,56.00353728702022,1000
True,0.8,200,1800,0.9841,18.150121450424194,55.09605005847653,1000
True,0.8,200,2000,0.9842,18.3803071975708,54.40605476562237,1000
True,0.8,300,300,0.9836,21.18693780899048,47.19889249760573,1000
True,0.8,300,320,0.9824,21.58406138420105,46.33048350816742,1000
True,0.8,300,340,0.9839,21.874961853027344,45.71436543381249,1000
True,0.8,300,360,0.9834,21.84717869758606,45.77250059800591,1000
True,0.8,300,380,0.984,21.996472358703613,45.461835138502,1000
True,0.8,300,400,0.9837,22.193995237350464,45.057232341705266,1000
True,0.8,300,500,0.9846,22.20040464401245,45.04422401461518,1000
True,0.8,300,600,0.984,22.58402371406555,44.27908917653102,1000
True,0.8,300,700,0.9847,22.697365283966064,44.05797710390742,1000
True,0.8,300,800,0.9837,22.95045018196106,43.57213004849879,1000
True,0.8,300,900,0.9844,23.16712474822998,43.1646141188238,1000
True,0.8,300,1000,0.9832,23.203938245773315,43.09613262232129,1000
True,0.8,300,1200,0.9835,23.666964292526245,42.25298976412402,1000
True,0.8,300,1400,0.9836,23.86440658569336,41.903409431496065,1000
True,0.8,300,1600,0.9837,23.78820276260376,42.037644036398156,1000
True,0.8,300,1800,0.984,24.234343767166138,41.263754018165265,1000
True,0.8,300,2000,0.9828,24.29896378517151,41.154018288230546,1000
True,0.8,400,400,0.9836,27.038541078567505,36.984243975821045,1000
True,0.8,400,500,0.9848,27.47586965560913,36.395572279760486,1000
True,0.8,400,600,0.9844,27.82341742515564,35.940948040979414,1000
True,0.8,400,700,0.9835,27.902456283569336,35.8391386707005,1000
True,0.8,400,800,0.9834,28.276294469833374,35.365312844186576,1000
True,0.8,400,900,0.9847,28.701122522354126,34.84184283109976,1000
True,0.8,400,1000,0.9853,28.6243736743927,34.93526221307674,1000
True,0.8,400,1200,0.9838,29.300973653793335,34.128558723526886,1000
True,0.8,400,1400,0.9843,29.513105154037476,33.88325270352642,1000
True,0.8,400,1600,0.9839,29.721412420272827,33.64577651491101,1000
True,0.8,400,1800,0.9851,29.79595136642456,33.561606666026634,1000
True,0.8,400,2000,0.9851,30.462285041809082,32.827478261316024,1000
True,0.8,500,500,0.985,32.11118531227112,31.141796550806717,1000
True,0.8,500,600,0.9843,32.339993953704834,30.921465273973592,1000
True,0.8,500,700,0.984,33.00946092605591,30.29434507398009,1000
True,0.8,500,800,0.9833,33.45596647262573,29.89003473620222,1000
True,0.8,500,900,0.9848,33.330137729644775,30.002876319066978,1000
True,0.8,500,1000,0.9843,33.10042953491211,30.211088316701968,1000
True,0.8,500,1200,0.9844,33.968709230422974,29.438857779864723,1000
True,0.8,500,1400,0.9847,34.27023911476135,29.179837253287975,1000
True,0.8,500,1600,0.9851,34.63806676864624,28.869971487703875,1000
True,0.8,500,1800,0.9837,34.83958578109741,28.702981897751513,1000
True,0.8,500,2000,0.9845,34.77423095703125,28.756926392869744,1000
True,0.8,600,600,0.9836,36.8910710811615,27.10683020831705,1000
True,0.8,600,700,0.9835,37.00546383857727,27.023036499748585,1000
True,0.8,600,800,0.9844,37.35241460800171,26.77203095153527,1000
True,0.8,600,900,0.9846,37.49799656867981,26.668091405055215,1000
True,0.8,600,1000,0.9848,37.60565423965454,26.591745848301624,1000
True,0.8,600,1200,0.9846,38.571099042892456,25.92614742162166,1000
True,0.8,600,1400,0.9847,38.788748025894165,25.780672254036944,1000
True,0.8,600,1600,0.9839,39.44846200942993,25.349530731032193,1000
True,0.8,600,1800,0.9838,39.074429512023926,25.59218426189131,1000
True,0.8,600,2000,0.9842,39.20902943611145,25.504329344071998,1000
True,0.8,700,700,0.9847,40.91076421737671,24.44344463199378,1000
True,0.8,700,800,0.9835,41.572187423706055,24.05454372193467,1000
True,0.8,700,900,0.9851,42.09278321266174,23.757041556216087,1000
True,0.8,700,1000,0.9844,42.043882846832275,23.784672877218412,1000
True,0.8,700,1200,0.9845,41.795610427856445,23.92595752910712,1000
True,0.8,700,1400,0.984,42.104029417037964,23.75069592734363,1000
True,0.8,700,1600,0.9844,43.035245418548584,23.23676768365752,1000
True,0.8,700,1800,0.9847,43.35589075088501,23.06491650110054,1000
True,0.8,700,2000,0.9852,43.64341974258423,22.91296158500314,1000
True,0.8,800,800,0.9849,44.91149091720581,22.266016548938374,1000
True,0.8,800,900,0.9857,44.83442568778992,22.304289274577176,1000
True,0.8,800,1000,0.9835,45.207982778549194,22.119987191166857,1000
True,0.8,800,1200,0.9853,45.77407622337341,21.84642667871852,1000
True,0.8,800,1400,0.9847,46.49408483505249,21.508112344779118,1000
True,0.8,800,1600,0.9841,46.77655482292175,21.37823111996212,1000
True,0.8,800,1800,0.9848,47.085585832595825,21.23792201620506,1000
True,0.8,800,2000,0.9853,47.62638545036316,20.99676451496016,1000
True,0.81,40,40,0.9637,1.762228012084961,567.4634571362084,1000
True,0.81,40,50,0.9665,1.816066026687622,550.6407725846457,1000
True,0.81,40,60,0.9674,1.8584954738616943,538.0696450780907,1000
True,0.81,40,70,0.9686,1.8888084888458252,529.4342999332133,1000
True,0.81,40,80,0.969,1.9159152507781982,521.9437548679798,1000
True,0.81,40,90,0.9692,1.9453051090240479,514.0581780005175,1000
True,0.81,40,100,0.9689,1.9729080200195312,506.8660017865913,1000
True,0.81,40,120,0.9699,2.0278820991516113,493.12531552912367,1000
True,0.81,40,140,0.97,2.0730512142181396,482.38075023976404,1000
True,0.81,40,160,0.9708,2.1266279220581055,470.2280025704831,1000
True,0.81,40,180,0.9707,2.1720848083496094,460.3871801671587,1000
True,0.81,40,200,0.9712,2.2151482105255127,451.4370619755344,1000
True,0.81,40,220,0.9718,2.2573082447052,443.0055143534896,1000
True,0.81,40,240,0.9721,2.2965850830078125,435.4291105515285,1000
True,0.81,40,260,0.9719,2.3448705673217773,426.46277109536254,1000
True,0.81,40,280,0.9722,2.4339487552642822,410.8549934903697,1000
True,0.81,40,300,0.9716,2.5047929286956787,399.2345988140146,1000
True,0.81,40,320,0.9722,2.538020372390747,394.0078696287323,1000
True,0.81,40,340,0.9723,2.548952341079712,392.3180452940166,1000
True,0.81,40,360,0.9728,2.575917959213257,388.2111215628243,1000
True,0.81,40,380,0.9726,2.603912830352783,384.037433336245,1000
True,0.81,40,400,0.9726,2.6369001865386963,379.2331636612462,1000
True,0.81,40,500,0.9729,2.8073904514312744,356.20267907165396,1000
True,0.81,40,600,0.9741,2.9783082008361816,335.76108735799835,1000
True,0.81,40,700,0.9741,3.122384548187256,320.2680466057789,1000
True,0.81,40,800,0.9755,3.2819693088531494,304.69511012869276,1000
True,0.81,40,900,0.9744,3.444301128387451,290.3346608570717,1000
True,0.81,40,1000,0.9756,3.5888724327087402,278.6390485451831,1000
True,0.81,40,1200,0.9758,3.882364511489868,257.5749899424687,1000
True,0.81,40,1400,0.9763,4.157767057418823,240.51371473918223,1000
True,0.81,40,1600,0.9767,4.411626815795898,226.67375137431944,1000
True,0.81,40,1800,0.9769,4.692550182342529,213.10374127971463,1000
True,0.81,40,2000,0.9769,4.965443134307861,201.39189453015277,1000
True,0.81,80,80,0.98,4.306737661361694,232.194314729591,1000
True,0.81,80,90,0.9799,4.432421684265137,225.61030317804537,1000
True,0.81,80,100,0.9791,4.429546117782593,225.7567645555059,1000
True,0.81,80,120,0.9802,4.484287261962891,223.00087875331022,1000
True,0.81,80,140,0.979,4.572188854217529,218.7136253301455,1000
True,0.81,80,160,0.9803,4.62920880317688,216.01963586385034,1000
True,0.81,80,180,0.9802,4.66571307182312,214.32951075348737,1000
True,0.81,80,200,0.9812,4.709628582000732,212.33096890523424,1000
True,0.81,80,220,0.9804,4.754777431488037,210.31478642461795,1000
True,0.81,80,240,0.981,4.791606664657593,208.69826552665498,1000
True,0.81,80,260,0.9807,4.906513452529907,203.8107119597069,1000
True,0.81,80,280,0.981,4.9996654987335205,200.01338094584784,1000
True,0.81,80,300,0.9811,5.053869962692261,197.86816981481797,1000
True,0.81,80,320,0.9815,5.209825277328491,191.94501672669966,1000
True,0.81,80,340,0.9809,5.1913251876831055,192.62904245963855,1000
True,0.81,80,360,0.9806,5.173699617385864,193.28528402375127,1000
True,0.81,80,380,0.9801,5.19642186164856,192.440111027235,1000
True,0.81,80,400,0.9804,5.23624062538147,190.9767085860666,1000
True,0.81,80,500,0.9802,5.395411968231201,185.34265889020406,1000
True,0.81,80,600,0.9804,5.538228750228882,180.5631448427753,1000
True,0.81,80,700,0.9801,5.720527648925781,174.8090493344234,1000
True,0.81,80,800,0.9798,5.951805591583252,168.01624055297611,1000
True,0.81,80,900,0.9802,6.065931081771851,164.8551535649662,1000
True,0.81,80,1000,0.9804,6.21532416343689,160.89265397977726,1000
True,0.81,80,1200,0.9799,6.603994369506836,151.4235088717492,1000
True,0.81,80,1400,0.9798,6.856245994567871,145.85240972863124,1000
True,0.81,80,1600,0.9802,7.13929295539856,140.06989294980875,1000
True,0.81,80,1800,0.9803,7.401090860366821,135.1152173195232,1000
True,0.81,80,2000,0.9804,7.701037406921387,129.8526350620294,1000
True,0.81,100,100,0.9803,5.58087158203125,179.1834815227971,1000
True,0.81,100,120,0.9814,5.7330615520477295,174.42687313252742,1000
True,0.81,100,140,0.9811,5.747079133987427,174.00143215118425,1000
True,0.81,100,160,0.9806,5.820706129074097,171.8004616321475,1000
True,0.81,100,180,0.9812,5.894540786743164,169.6484995487693,1000
True,0.81,100,200,0.9819,5.8874852657318115,169.8518051196686,1000
