enable_batch_dco,gamma,refine_queue_size,ef,recall,latency(ms),QPS,nq
True,0.8,10,120,0.815,0.5421547889709473,1844.4916845576136,1000
True,0.8,10,140,0.8289,0.5935840606689453,1684.6813556163222,1000
True,0.8,10,160,0.8388,0.6470913887023926,1545.3767697408125,1000
True,0.8,10,180,0.8468,0.7030112743377686,1422.4522941570071,1000
True,0.8,10,200,0.853,0.7547178268432617,1324.9985152499623,1000
True,0.8,10,220,0.8588,0.8039364814758301,1243.8793649023683,1000
True,0.8,10,240,0.863,0.8520824909210205,1173.5952923044981,1000
True,0.8,10,260,0.8685,0.900885820388794,1110.0185810100013,1000
True,0.8,10,280,0.8722,0.961143970489502,1040.4268566453254,1000
True,0.8,10,300,0.8756,1.0180630683898926,982.257417098471,1000
True,0.8,10,320,0.8777,1.0602531433105469,943.1709835611412,1000
True,0.8,10,340,0.8801,1.1149859428405762,896.8722937011797,1000
True,0.8,10,360,0.8828,1.1633994579315186,859.5499965058976,1000
True,0.8,10,380,0.8845,1.2137391567230225,823.900254400544,1000
True,0.8,10,400,0.8859,1.2636184692382812,791.3781132075471,1000
True,0.8,10,450,0.8905,1.3774681091308594,725.9696201830543,1000
True,0.8,10,500,0.8929,1.492997646331787,669.7934202756078,1000
True,0.8,10,550,0.8945,1.6238391399383545,615.8245453043845,1000
True,0.8,10,600,0.8965,1.7276291847229004,578.827915644637,1000
True,0.8,10,650,0.8981,1.846329927444458,541.6150088538726,1000
True,0.8,10,700,0.9003,1.9598398208618164,510.24578098441833,1000
True,0.8,10,750,0.9014,2.060091257095337,485.41538951530146,1000
True,0.8,10,800,0.9021,2.177722930908203,459.1952382036761,1000
True,0.8,10,900,0.9036,2.3986828327178955,416.89546711222414,1000
True,0.8,10,1000,0.9046,2.639209270477295,378.90136685491115,1000
True,0.8,10,1200,0.9063,3.054929494857788,327.33979677215154,1000
True,0.8,10,1400,0.9071,3.4490978717803955,289.9308854589877,1000
True,0.8,10,1600,0.9074,3.8329617977142334,260.89485175572185,1000
True,0.8,10,1800,0.9079,4.219278812408447,237.0073286124413,1000
True,0.8,10,2000,0.9085,4.584840536117554,218.11009393290715,1000
True,0.8,10,3000,0.9092,6.363098621368408,157.15613720677274,1000
True,0.8,10,4000,0.9096,8.061386585235596,124.04813854622688,1000
True,0.8,20,120,0.815,0.5456681251525879,1832.6157492163668,1000
True,0.8,20,140,0.8289,0.5958003997802734,1678.4144494847474,1000
True,0.8,20,160,0.8388,0.6598453521728516,1515.5066209181123,1000
True,0.8,20,180,0.8468,0.7093231678009033,1409.7946400091157,1000
True,0.8,20,200,0.853,0.7583394050598145,1318.6707605166903,1000
True,0.8,20,220,0.8588,0.808457612991333,1236.9232275517213,1000
True,0.8,20,240,0.863,0.8623363971710205,1159.6402555668512,1000
True,0.8,20,260,0.8685,0.913517951965332,1094.6692375870791,1000
True,0.8,20,280,0.8722,0.9649641513824463,1036.3079276751992,1000
True,0.8,20,300,0.8756,1.0104358196258545,989.6719619166721,1000
True,0.8,20,320,0.8777,1.0609383583068848,942.5618295071033,1000
True,0.8,20,340,0.8801,1.1064224243164062,903.8139303962874,1000
True,0.8,20,360,0.8828,1.1604022979736328,861.7700962384017,1000
True,0.8,20,380,0.8845,1.210550308227539,826.0705839348204,1000
