enable_batch_dco,gamma,refine_queue_size,ef,recall,latency(ms),QPS,nq
True,0.8,10,120,0.8536,0.3754909038543701,2663.1803586588044,1000
True,0.8,10,140,0.8602,0.4095611572265625,2441.6377929287282,1000
True,0.8,10,160,0.867,0.43808746337890625,2282.6492049946883,1000
True,0.8,10,180,0.8737,0.4694042205810547,2130.360052498344,1000
True,0.8,10,200,0.8777,0.500277042388916,1998.8924441241873,1000
True,0.8,10,220,0.8817,0.5292372703552246,1889.5116727678665,1000
True,0.8,10,240,0.8867,0.5626254081726074,1777.3815143684567,1000
True,0.8,10,260,0.8896,0.5877413749694824,1701.4286259018663,1000
True,0.8,10,280,0.8933,0.6150202751159668,1625.9626559651913,1000
True,0.8,10,300,0.8947,0.6470468044281006,1545.4832527669478,1000
True,0.8,10,320,0.8978,0.6767463684082031,1477.658465093994,1000
True,0.8,10,340,0.9002,0.7051198482513428,1418.198626063276,1000
True,0.8,10,360,0.9026,0.7286300659179688,1372.4385621394092,1000
True,0.8,10,380,0.904,0.7602841854095459,1315.2976468415231,1000
True,0.8,10,400,0.9063,0.7972714900970459,1254.2778870448226,1000
True,0.8,10,450,0.9118,0.8671250343322754,1153.2362236203273,1000
True,0.8,10,500,0.9162,0.9383947849273682,1065.6495710144,1000
True,0.8,10,550,0.921,1.0126674175262451,987.4910387092445,1000
True,0.8,10,600,0.9237,1.0821316242218018,924.1020016572703,1000
True,0.8,10,650,0.9265,1.153918743133545,866.6121474762009,1000
True,0.8,10,700,0.9292,1.222646951675415,817.8975939290423,1000
True,0.8,10,750,0.931,1.292499303817749,773.6948074526829,1000
True,0.8,10,800,0.9324,1.3635387420654297,733.3858358034207,1000
True,0.8,10,900,0.936,1.5032751560211182,665.2142131097335,1000
True,0.8,10,1000,0.9395,1.6489741802215576,606.4376337691589,1000
True,0.8,10,1200,0.9446,1.931131362915039,517.8311632257382,1000
True,0.8,10,1400,0.9476,2.233574867248535,447.7127741107984,1000
True,0.8,10,1600,0.9505,2.505110025405884,399.1840637171126,1000
True,0.8,10,1800,0.9537,2.7618722915649414,362.073222231929,1000
True,0.8,10,2000,0.9549,3.055621862411499,327.2656254693764,1000
True,0.8,10,3000,0.9631,4.402186155319214,227.159862104352,1000
True,0.8,10,4000,0.9671,5.840794324874878,171.20958971987463,1000
True,0.8,20,120,0.8536,0.37708497047424316,2651.9221881008516,1000
True,0.8,20,140,0.8602,0.40800952911376953,2450.9231492021345,1000
True,0.8,20,160,0.867,0.4398069381713867,2273.7249306656317,1000
True,0.8,20,180,0.8737,0.4697747230529785,2128.679877668143,1000
True,0.8,20,200,0.8777,0.4997231960296631,2001.107829184381,1000
True,0.8,20,220,0.8817,0.5305507183074951,1884.8339385725283,1000
True,0.8,20,240,0.8867,0.5679206848144531,1760.8092586497578,1000
True,0.8,20,260,0.8896,0.5878660678863525,1701.0677340086281,1000
True,0.8,20,280,0.8933,0.6202287673950195,1612.3083168167636,1000
True,0.8,20,300,0.8947,0.6522819995880127,1533.0792519671081,1000
True,0.8,20,320,0.8978,0.6752123832702637,1481.0154919800032,1000
True,0.8,20,340,0.9002,0.708064079284668,1412.3015546986433,1000
True,0.8,20,360,0.9026,0.7332725524902344,1363.7493952336608,1000
True,0.8,20,380,0.904,0.7640717029571533,1308.7776921063085,1000
True,0.8,20,400,0.9063,0.7926242351531982,1261.6318750419234,1000
True,0.8,20,450,0.9118,0.8811933994293213,1134.8246601116398,1000
True,0.8,20,500,0.9162,0.9463999271392822,1056.6357533677508,1000
True,0.8,20,550,0.921,1.0177268981933594,982.5818712025518,1000
True,0.8,20,600,0.9237,1.0892422199249268,918.0694447089303,1000
True,0.8,20,650,0.9265,1.1582820415496826,863.3475821330056,1000
True,0.8,20,700,0.9292,1.2280476093292236,814.3006772727758,1000
True,0.8,20,750,0.931,1.3011529445648193,768.5491580195884,1000
